huwplace	lat	lng	all_bg	bedu_bg	bedu_pct	dist_du_be	be_bg	be_pct	dist_be	du_bg	du_pct	dist_du	be_or_du
's Gravenmoer	51.65594	4.940760	1988	9	0.45	19.88	5	0.25	19.88	4	0.20	70.46	be
's-Hertogenbosch	51.69917	5.304170	54765	1417	2.59	29.74	735	1.34	29.74	682	1.25	44.98	be
Aalst	51.78250	5.127780	943	6	0.64	33.43	3	0.32	33.43	3	0.32	56.85	du
Aarle-Rixtel	51.50976	5.638390	2776	27	0.97	25.33	6	0.22	25.33	21	0.76	32.88	du
Alem, Maren en Kessel	51.80410	5.405800	2101	24	1.14	38.09	7	0.33	43.34	17	0.81	38.09	du
Almkerk	51.77083	4.959720	3224	3	0.09	31.97	0	0.00	31.97	3	0.09	68.35	du
Almkerk en Uitwijk	51.78583	5.006940	1290	1	0.08	33.26	0	0.00	33.26	1	0.08	65.17	du
Alphen en Riel	51.50000	4.983300	3160	208	6.58	3.50	206	6.52	3.50	2	0.06	72.13	be
Andel	51.78333	5.058330	1765	3	0.17	32.96	2	0.11	32.96	1	0.06	61.63	be
Asten	51.40417	5.748610	6244	47	0.75	20.21	12	0.19	20.21	35	0.56	32.87	du
Baardwijk	51.69246	5.096280	1930	11	0.57	23.19	8	0.41	23.19	3	0.16	59.29	be
Baarle-Nassau	51.44750	4.929170	3470	833	24.01	3.66	828	23.86	3.66	5	0.14	77.89	be
Bakel en Milheeze	51.50167	5.779170	3240	16	0.49	25.01	3	0.09	29.34	13	0.40	25.01	du
Beek Princenhage	51.57632	4.739060	130	1	0.77	8.28	1	0.77	8.28	0	0.00	85.79	be
Beek en Donk	51.54158	5.626030	3314	30	0.91	28.44	7	0.21	28.44	23	0.69	31.52	du
Beers	51.72583	5.827780	1336	14	1.05	8.88	0	0.00	52.53	14	1.05	8.88	du
Bergen op Zoom	51.49500	4.291670	22692	713	3.14	8.56	574	2.53	8.56	139	0.61	117.99	be
Bergeyk	51.31917	5.358330	3530	172	4.87	4.89	163	4.62	4.89	9	0.25	60.39	be
Berghem	51.76991	5.568270	3734	28	0.75	26.52	2	0.05	47.39	26	0.70	26.52	du
Berkel-Enschot	51.58417	5.144440	2236	15	0.67	13.12	3	0.13	13.12	12	0.54	58.48	du
Berlicum	51.67750	5.400000	4990	20	0.40	31.92	9	0.18	31.92	11	0.22	38.84	du
Besoijen	51.68333	5.050000	1614	10	0.62	21.82	7	0.43	21.82	3	0.19	62.58	be
Best	51.50750	5.390280	4069	35	0.86	21.56	15	0.37	21.56	20	0.49	46.67	du
Beugen en Rijkevoort	51.66700	5.917000	2910	38	1.31	7.88	0	0.00	49.81	38	1.31	7.88	du
Bladel en Netersel	51.35000	5.216670	2573	67	2.60	3.25	60	2.33	3.25	7	0.27	66.86	be
Boekel	51.60489	5.693570	4152	10	0.24	23.34	2	0.05	36.57	8	0.19	23.34	du
Bokhoven	51.73750	5.230560	370	5	1.35	30.89	2	0.54	30.89	3	0.81	49.70	du
Borkel en Schaft	51.29750	5.441700	836	59	7.06	1.78	55	6.58	1.78	4	0.48	56.92	be
Boxmeer	51.64667	5.947220	3617	165	4.56	6.68	9	0.25	49.20	156	4.31	6.68	du
Boxtel	51.59083	5.329170	11166	135	1.21	21.85	65	0.58	21.85	70	0.63	46.18	du
Breda	51.58656	4.775960	45342	1415	3.12	9.07	940	2.07	9.07	475	1.05	83.06	be
Budel	51.27167	5.575000	4772	408	8.55	1.47	377	7.90	1.47	31	0.65	51.52	be
Capelle	51.69167	4.984720	3596	9	0.25	23.00	3	0.08	23.00	6	0.17	66.95	du
Chaam	51.50583	4.861110	2610	147	5.63	3.70	144	5.52	3.70	3	0.11	79.82	be
Cromvoirt	51.66083	5.231940	926	3	0.32	23.57	2	0.22	23.57	1	0.11	50.58	be
Cuijk en Sint Agatha	51.73083	5.879170	4473	155	3.47	5.29	13	0.29	54.58	142	3.17	5.29	du
De Werken en Sleeuwijk	51.81583	4.952780	5162	18	0.35	36.64	9	0.17	36.64	9	0.17	69.15	du
Den Dungen	51.66500	5.372220	2984	12	0.40	29.59	8	0.27	29.59	4	0.13	40.99	be
Deurne	51.43701	5.822450	2762	46	1.67	26.49	6	0.22	26.49	40	1.45	26.62	du
Deurne en Liessel	51.43701	5.822450	6736	41	0.61	26.49	20	0.30	26.49	21	0.31	26.62	du
Deursen en Dennenburg	51.80167	5.627780	528	1	0.19	23.07	0	0.00	52.78	1	0.19	23.07	du
Dieden, Demen en Langel	51.82000	5.609720	704	1	0.14	24.84	0	0.00	53.35	1	0.14	24.84	du
Diessen	51.47583	5.175000	1801	8	0.44	6.43	8	0.44	6.43	0	0.00	61.26	be
Dinteloord	51.63500	4.369440	5564	27	0.49	18.96	20	0.36	18.96	7	0.13	109.83	be
Dinther	51.64500	5.486389	2950	11	0.37	33.93	4	0.14	34.18	7	0.24	33.93	du
Dommelen	51.34624	5.433940	635	18	2.83	6.56	17	2.68	6.56	1	0.16	54.34	be
Dongen	51.62667	4.938890	8202	57	0.69	16.90	35	0.43	16.90	22	0.27	71.15	be
Drongelen	51.71583	5.054170	760	0	0.00	25.44	0	0.00	25.44	0	0.00	61.95	du
Drunen	51.68583	5.133330	4714	17	0.36	23.08	6	0.13	23.08	11	0.23	56.85	du
Duizel en Steensel	51.36833	5.297220	876	21	2.40	7.96	21	2.40	7.96	0	0.00	61.28	be
Dussen	51.73083	4.962500	4847	25	0.52	27.56	10	0.21	27.56	15	0.31	68.17	du
Eersel	51.35750	5.318060	2164	49	2.26	7.85	37	1.71	7.85	12	0.55	60.78	be
Eethen, Genderen en Heesbeen	51.73250	5.052780	2360	9	0.38	27.29	5	0.21	27.29	4	0.17	61.95	be
Eindhoven	51.44083	5.477780	39787	2233	5.61	15.78	626	1.57	15.78	1607	4.04	46.39	du
Emmikhoven en Waardhuizen	51.78333	4.983330	966	0	0.00	33.12	0	0.00	33.12	0	0.00	66.78	du
Empel en Meerwijk	51.73083	5.326390	1119	8	0.71	33.54	1	0.09	33.54	7	0.63	43.14	du
Engelen	51.72083	5.265280	860	34	3.95	30.41	19	2.21	30.41	15	1.74	47.41	be
Erp	51.60000	5.606940	3934	11	0.28	28.50	3	0.08	34.40	8	0.20	28.50	du
Esch	51.61083	5.290280	1030	4	0.39	21.33	2	0.19	21.33	2	0.19	47.98	du
Escharen	51.74333	5.745830	1832	2	0.11	14.22	0	0.00	52.31	2	0.11	14.22	du
Etten-Leur	51.57711	4.642530	11597	134	1.16	12.01	116	1.00	12.01	18	0.16	92.30	be
Fijnaart en Heijningen	51.63750	4.469440	6812	15	0.22	17.78	8	0.12	17.78	7	0.10	102.95	be
Gassel	51.74083	5.780560	1026	11	1.07	11.85	1	0.10	52.83	10	0.97	11.85	du
Gastel	51.28583	5.555560	26	1	3.85	1.92	1	3.85	1.92	0	0.00	51.64	be
Geertruidenberg	51.70167	4.856940	3307	91	2.75	22.58	55	1.66	22.58	36	1.09	75.62	be
Geffen	51.74000	5.463890	2404	6	0.25	33.63	1	0.04	40.01	5	0.21	33.63	du
Geldrop	51.42167	5.559720	5688	158	2.78	14.39	67	1.18	14.39	91	1.60	42.60	du
Gemert	51.55583	5.690280	8436	67	0.79	27.10	19	0.23	31.40	48	0.57	27.10	du
Gestel en Blaarthem	51.41577	5.439890	3312	97	2.93	13.44	80	2.42	13.44	17	0.51	50.15	be
Giessen	51.79000	5.030560	954	0	0.00	33.66	0	0.00	33.66	0	0.00	63.58	du
Gilze en Rijen	51.54417	4.940280	6130	123	2.01	9.17	102	1.66	9.17	21	0.34	73.28	be
Ginneken en Bavel	51.56593	4.793100	10197	433	4.25	6.90	371	3.64	6.90	62	0.61	82.42	be
Goirle	51.52083	5.066670	4498	172	3.82	4.29	139	3.09	4.29	33	0.73	65.91	be
Grave	51.75902	5.738820	4510	195	4.32	14.73	70	1.55	53.83	125	2.77	14.73	du
Haaren	51.60250	5.222220	2552	13	0.51	17.64	7	0.27	17.64	6	0.24	52.75	be
Halsteren	51.52834	4.267850	6134	101	1.65	12.34	76	1.24	12.34	25	0.41	118.76	be
Haps	51.68917	5.861110	1522	14	0.92	8.46	2	0.13	49.91	12	0.79	8.46	du
Haren en Macharen	51.80310	5.561800	132	1	0.76	27.52	0	0.00	49.73	1	0.76	27.52	du
Hedikhuizen	51.73333	5.186110	1796	7	0.39	29.25	3	0.17	29.25	4	0.22	52.78	du
Heesch	51.73362	5.526720	3856	10	0.26	29.34	1	0.03	42.53	9	0.23	29.34	du
Heeswijk	51.65083	5.475000	1846	8	0.43	33.91	6	0.33	33.91	2	0.11	34.49	be
Heeze	51.38280	5.571450	3675	53	1.44	10.48	32	0.87	10.48	21	0.57	44.10	be
Helmond	51.48167	5.661110	22104	737	3.33	23.06	251	1.14	23.06	486	2.20	33.37	du
Helvoirt	51.63167	5.230560	2652	14	0.53	20.69	9	0.34	20.69	5	0.19	51.34	be
